LAT,LON,YEAR,MO,DY,WS2M,T2M,RH2M,PS,T2MDEW,PRECTOTCORR
26.25,73.25,2023,11,1,1.07,28.1,37.71,98.58,11.16,0
26.25,73.75,2023,11,1,1.3,27.19,41.41,97.94,11.53,0
26.25,74.25,2023,11,1,1.44,26.11,42.86,97.04,11.19,0
26.25,74.75,2023,11,1,1.44,25.82,41.78,97,10.55,0
26.25,75.25,2023,11,1,1.4,25.72,41.8,97.43,10.41,0
26.25,75.75,2023,11,1,1.38,25.42,44.57,97.97,11.05,0
26.25,76.25,2023,11,1,1.35,24.76,49.72,98.32,12.23,0
26.25,76.75,2023,11,1,1.35,24.5,50.42,98.34,12.43,0
26.25,77.25,2023,11,1,1.36,24.54,49.94,98.42,12.45,0
26.25,77.75,2023,11,1,1.3,24.86,48.38,98.7,12.4,0
26.25,78.25,2023,11,1,1.16,25.31,46.79,99.15,12.46,0
26.25,78.75,2023,11,1,0.98,25.54,47.22,99.63,12.85,0
26.25,79.25,2023,11,1,0.86,25.66,46.67,99.84,12.76,0
26.25,79.75,2023,11,1,0.79,25.69,46.38,99.99,12.69,0
26.25,80.25,2023,11,1,0.75,25.6,47.21,100.09,12.89,0
26.25,80.75,2023,11,1,0.75,25.4,49.32,100.15,13.43,0
26.75,73.25,2023,11,1,1.52,27.79,34.6,98.21,9.71,0
26.75,73.75,2023,11,1,1.58,27.16,36.75,97.93,9.77,0
26.75,74.25,2023,11,1,1.61,26.27,40.42,97.43,10.46,0
26.75,74.75,2023,11,1,1.52,25.72,41.72,97.11,10.52,0
26.75,75.25,2023,11,1,1.42,25.45,41.96,97.12,10.36,0
26.75,75.75,2023,11,1,1.36,25.33,42.31,97.43,10.33,0
26.75,76.25,2023,11,1,1.38,25.16,43.81,97.81,10.75,0
26.75,76.75,2023,11,1,1.32,24.89,47.04,98.35,11.88,0
26.75,77.25,2023,11,1,1.27,25,47.41,98.88,12.29,0
26.75,77.75,2023,11,1,1.2,25.27,46.81,99.31,12.43,0
26.75,78.25,2023,11,1,1.11,25.51,46.36,99.6,12.54,0
26.75,78.75,2023,11,1,0.98,25.63,46.41,99.77,12.73,0
26.75,79.25,2023,11,1,0.85,25.72,46.03,99.86,12.69,0
26.75,79.75,2023,11,1,0.74,25.74,46.24,99.94,12.78,0
26.75,80.25,2023,11,1,0.7,25.69,47.48,100.02,13.15,0
26.75,80.75,2023,11,1,0.7,25.56,50.02,100.09,13.84,0
27.25,73.25,2023,11,1,1.94,27.18,35.14,98.15,9.4,0
27.25,73.75,2023,11,1,1.86,26.75,36.56,97.97,9.41,0
27.25,74.25,2023,11,1,1.8,26.26,38.41,97.67,9.71,0
27.25,74.75,2023,11,1,1.7,25.66,40.08,97.21,9.86,0
27.25,75.25,2023,11,1,1.56,25.22,40.52,96.83,9.67,0
27.25,75.75,2023,11,1,1.45,25.09,39.9,96.75,9.33,0
27.25,76.25,2023,11,1,1.42,25.25,39.5,97.13,9.36,0
27.25,76.75,2023,11,1,1.31,25.23,43.78,98.34,11.19,0
27.25,77.25,2023,11,1,1.24,25.34,45.8,99.06,12.12,0
27.25,77.75,2023,11,1,1.18,25.5,46.25,99.45,12.46,0
27.25,78.25,2023,11,1,1.12,25.61,46.11,99.61,12.56,0
27.25,78.75,2023,11,1,1.01,25.62,46.69,99.69,12.83,0
27.25,79.25,2023,11,1,0.81,25.75,46.54,99.78,12.92,0
27.25,79.75,2023,11,1,0.7,25.74,47.38,99.87,13.21,0
27.25,80.25,2023,11,1,0.68,25.7,48.96,99.95,13.71,0
27.25,80.75,2023,11,1,0.72,25.67,51.18,100.02,14.4,0
27.75,73.25,2023,11,1,2.02,26.82,35.82,98.52,9.32,0
27.75,73.75,2023,11,1,1.97,26.35,37.97,98.29,9.65,0
27.75,74.25,2023,11,1,1.91,25.88,39.62,98,9.82,0
27.75,74.75,2023,11,1,1.82,25.46,40.35,97.56,9.76,0
27.75,75.25,2023,11,1,1.7,25.09,40.42,97.13,9.52,0
27.75,75.75,2023,11,1,1.56,24.88,39.96,96.96,9.22,0
27.75,76.25,2023,11,1,1.42,25.12,38.94,97.38,9.06,0
27.75,76.75,2023,11,1,1.27,25.15,43.34,98.41,10.92,0
27.75,77.25,2023,11,1,1.17,25.42,45.22,99.11,11.95,0
27.75,77.75,2023,11,1,1.12,25.62,46.06,99.42,12.45,0
27.75,78.25,2023,11,1,1.08,25.62,47.09,99.49,12.83,0
27.75,78.75,2023,11,1,1,25.49,49.31,99.59,13.51,0
27.75,79.25,2023,11,1,0.83,25.63,49.79,99.7,13.81,0
27.75,79.75,2023,11,1,0.74,25.61,50.88,99.77,14.18,0
27.75,80.25,2023,11,1,0.75,25.61,52.32,99.83,14.66,0
27.75,80.75,2023,11,1,0.8,25.67,54.14,99.9,15.28,0
28.25,73.25,2023,11,1,2,26.56,36.69,99.09,9.39,0
28.25,73.75,2023,11,1,2,26.04,39.31,98.8,9.92,0
28.25,74.25,2023,11,1,1.93,25.51,41.46,98.52,10.27,0
28.25,74.75,2023,11,1,1.84,25.17,42.41,98.25,10.36,0
28.25,75.25,2023,11,1,1.73,24.88,42.9,98.04,10.32,0
28.25,75.75,2023,11,1,1.58,24.7,42.81,98,10.14,0
28.25,76.25,2023,11,1,1.39,24.9,41.19,98.33,9.69,0
28.25,76.75,2023,11,1,1.24,24.78,44.34,98.72,10.88,0
28.25,77.25,2023,11,1,1.09,25.15,45.44,99.09,11.73,0
28.25,77.75,2023,11,1,0.93,25.58,46.31,99.29,12.43,0
28.25,78.25,2023,11,1,0.82,25.72,48.39,99.34,13.23,0
28.25,78.75,2023,11,1,0.86,25.4,52.84,99.46,14.46,0
28.25,79.25,2023,11,1,0.78,25.48,54.59,99.54,15.11,0
28.25,79.75,2023,11,1,0.78,25.53,55.95,99.53,15.61,0
28.25,80.25,2023,11,1,0.84,25.58,56.86,99.46,15.94,0
28.25,80.75,2023,11,1,0.92,25.49,58.16,99.18,16.23,0
28.75,73.25,2023,11,1,1.96,26.19,38.8,99.51,9.86,0
28.75,73.75,2023,11,1,2,25.6,42,99.25,10.57,0
28.75,74.25,2023,11,1,1.89,25.02,44.75,99.07,11.09,0
28.75,74.75,2023,11,1,1.77,24.58,46.71,98.93,11.41,0
28.75,75.25,2023,11,1,1.64,24.25,48.29,98.84,11.63,0
28.75,75.75,2023,11,1,1.5,24.07,48.89,98.83,11.62,0
28.75,76.25,2023,11,1,1.35,24.2,46.97,98.92,11.07,0
28.75,76.75,2023,11,1,1.22,24.15,47.37,98.96,11.27,0
28.75,77.25,2023,11,1,1.08,24.43,47.92,99.05,11.85,0
28.75,77.75,2023,11,1,0.87,25.09,47.57,99.11,12.42,0
28.75,78.25,2023,11,1,0.7,25.77,47.72,99.13,13.12,0
28.75,78.75,2023,11,1,0.76,25.7,52.22,99.13,14.61,0
28.75,79.25,2023,11,1,0.84,25.33,56.14,98.73,15.48,0
28.75,79.75,2023,11,1,0.96,24.95,59.17,98.11,16.01,0
28.75,80.25,2023,11,1,0.98,24.31,60.74,96.84,15.84,0
28.75,80.75,2023,11,1,0.95,23.24,62.1,94.91,15.16,0
29.25,73.25,2023,11,1,1.83,25.73,41.99,99.68,10.68,0
29.25,73.75,2023,11,1,1.84,25.08,45.81,99.49,11.49,0
29.25,74.25,2023,11,1,1.69,24.38,49.81,99.38,12.23,0
29.25,74.75,2023,11,1,1.55,23.86,52.72,99.28,12.67,0
29.25,75.25,2023,11,1,1.43,23.48,54.74,99.18,12.93,0
29.25,75.75,2023,11,1,1.33,23.3,55.29,99.1,12.93,0
29.25,76.25,2023,11,1,1.26,23.4,53.09,99.02,12.4,0
29.25,76.75,2023,11,1,1.16,23.56,51.52,98.96,12.03,0
29.25,77.25,2023,11,1,1.08,23.6,52.81,98.91,12.57,0
29.25,77.75,2023,11,1,1.02,24.16,52.32,98.82,13.05,0
29.25,78.25,2023,11,1,0.97,24.92,50.62,98.45,13.33,0
29.25,78.75,2023,11,1,1.02,24.65,53.5,97.33,14.08,0
29.25,79.25,2023,11,1,1.08,22.94,57.8,94.49,13.71,0
29.25,79.75,2023,11,1,1.18,21.55,61.22,92.13,13.27,0
29.25,80.25,2023,11,1,1.16,20.02,62.92,89.54,12.19,0
29.25,80.75,2023,11,1,1.07,17.93,63.98,86.27,10.34,0
29.75,73.25,2023,11,1,1.64,25.25,45.54,99.74,11.6,0
29.75,73.75,2023,11,1,1.55,24.5,50.59,99.6,12.59,0
29.75,74.25,2023,11,1,1.4,23.78,55.34,99.47,13.39,0
29.75,74.75,2023,11,1,1.29,23.27,58.22,99.33,13.79,0
29.75,75.25,2023,11,1,1.21,22.98,59.07,99.2,13.8,0
29.75,75.75,2023,11,1,1.16,22.87,58.22,99.06,13.53,0
29.75,76.25,2023,11,1,1.13,22.92,56.47,98.93,13.12,0
29.75,76.75,2023,11,1,1.05,23.13,55.19,98.77,12.88,0
